road,modal_class,segments,length_m,mean_lanes,mean_speed_mph,oneway_share,transit_share,max_transit_routes,commercial_share,junction_share,unpaved_share,class_pts,lane_pts,speed_pts,oneway_pts,transit_pts,commercial_pts,junction_pts,surface_pts,score,category,min_segment_score,max_segment_score,score_std,dominant_category,category_consistency,classification_margin,margin_label,lanes_imputed_share,speed_imputed_share,data_completeness
Enmore Road,trunk,21,1610,3.0,28,0.14,1.0,13,1.0,0.2,0.0,28.53,8.17,1.11,0.0,7.0,5.0,0.61,0.0,50.4,High,40.4,61.0,7.3,High,1.0,12.4,stable,0.01,0.0,0.99
Anzac Parade,primary,52,5605,2.7,36,1.0,0.95,8,0.73,0.3,0.0,28.0,6.82,4.33,2.0,5.94,2.13,0.91,0.0,50.1,High,34.9,64.9,7.1,High,0.98,12.1,stable,0.0,0.0,1.0
Euston Road,primary,15,1320,3.1,34,0.87,0.2,2,1.0,0.58,0.0,28.0,8.45,3.82,1.73,0.86,5.0,1.73,0.0,49.6,High,44.4,54.9,2.8,High,1.0,11.6,stable,0.0,0.0,1.0
Warringah Freeway On Ramp,motorway_link,8,410,1.2,46,1.0,1.0,1,1.0,0.0,0.0,32.0,0.91,8.36,0.0,3.0,5.0,0.0,0.0,49.3,High,44.0,53.9,3.4,High,1.0,11.3,stable,0.0,0.26,0.87
Western Distributor Onramp,motorway_link,54,4622,1.6,38,1.0,0.67,46,1.0,0.19,0.0,32.0,2.55,5.16,0.0,3.55,4.7,0.57,0.0,48.5,High,41.0,55.9,4.4,High,1.0,10.5,stable,0.08,0.13,0.9
Sydenham Road,primary,5,1038,4.0,31,0.0,0.0,0,1.0,0.63,0.0,28.0,12.0,2.43,0.0,0.0,3.9,1.9,0.0,48.2,High,44.4,50.4,2.4,High,1.0,10.2,stable,0.0,0.0,1.0
Falcon Street Offramp,motorway_link,4,285,1.2,43,1.0,1.0,17,0.47,0.0,0.0,32.0,0.88,7.25,0.0,7.0,0.94,0.0,0.0,48.1,High,43.9,50.9,2.5,High,1.0,10.1,stable,0.0,0.0,1.0
Military Road E-Ramp,trunk,1,56,2.0,37,1.0,0.0,0,1.0,0.0,0.0,34.0,4.0,4.91,0.0,0.0,5.0,0.0,0.0,47.9,High,47.9,47.9,0.0,High,1.0,9.9,stable,0.0,0.0,1.0
McEvoy Street,primary,17,1760,2.8,32,0.13,0.47,6,1.0,0.58,0.0,28.0,7.18,2.73,0.26,2.81,5.0,1.74,0.0,47.7,High,41.4,57.4,5.5,High,1.0,9.7,stable,0.28,0.0,0.86
Fig Street Offramp,motorway_link,3,561,1.6,37,1.0,1.0,1,1.0,0.07,0.0,32.0,2.51,4.91,0.0,3.0,5.0,0.22,0.0,47.6,High,44.9,48.9,1.7,High,1.0,9.6,stable,0.37,0.0,0.81
Iron Cove Link Tunnel,motorway_link,11,2774,1.9,37,1.0,0.0,0,1.0,0.0,0.0,34.35,3.54,4.91,0.0,0.0,4.8,0.0,0.0,47.6,High,39.9,53.9,5.1,High,1.0,9.6,stable,0.0,0.0,1.0
Fountain Street,primary,5,330,2.0,34,0.0,1.0,4,1.0,0.0,0.0,28.0,4.0,3.49,0.0,7.0,5.0,0.0,0.0,47.5,High,46.0,48.9,1.4,High,1.0,9.5,stable,0.19,0.49,0.66
Old South Head Road,primary,26,1713,2.0,31,1.0,1.0,8,1.0,0.42,0.0,28.0,3.9,2.43,2.0,5.05,4.65,1.26,0.0,47.3,High,37.4,59.4,5.4,High,0.92,9.3,stable,0.0,0.0,1.0
Frenchmans Road,primary,9,898,2.2,31,0.15,1.0,2,1.0,0.6,0.0,28.0,4.92,2.43,0.31,4.69,5.0,1.81,0.0,47.2,High,44.4,55.4,3.2,High,1.0,9.2,stable,0.0,0.0,1.0
Macquarie Street Offramp,motorway_link,9,669,1.0,38,1.0,0.84,8,1.0,0.04,0.0,32.0,0.0,5.45,0.0,5.89,3.79,0.11,0.0,47.2,High,39.4,51.4,3.8,High,1.0,9.2,stable,0.03,0.04,0.96
South Dowling Street,primary,52,6000,2.4,39,0.94,0.0,0,0.92,0.27,0.0,29.05,5.7,5.47,1.55,0.0,4.41,0.82,0.0,47.0,High,24.0,61.9,5.5,High,0.98,9.0,stable,0.0,0.03,0.98
Bathurst Street Offramp,motorway_link,18,757,2.3,35,1.0,0.0,0,1.0,0.21,0.0,32.0,5.37,4.01,0.0,0.0,5.0,0.63,0.0,47.0,High,39.4,54.4,3.9,High,1.0,9.0,stable,0.03,0.1,0.94
Wattle Street,primary,17,1427,3.4,30,0.81,0.07,1,1.0,0.22,0.0,27.64,9.59,2.12,1.44,0.22,5.0,0.67,0.0,46.7,High,29.0,55.4,6.6,High,0.94,8.7,stable,0.07,0.29,0.82
William Street Exit,motorway_link,3,170,1.8,40,1.0,0.0,0,1.0,0.45,0.0,32.0,3.18,5.94,0.0,0.0,4.0,1.34,0.0,46.5,High,44.9,47.9,1.2,High,1.0,8.5,stable,0.0,0.0,1.0
O'Riordan Street,primary,12,980,3.4,31,0.28,0.01,1,1.0,0.22,0.0,28.0,9.73,2.42,0.57,0.03,5.0,0.65,0.0,46.4,High,41.4,47.4,2.1,High,1.0,8.4,stable,0.0,0.02,0.99
Fig Street,primary,5,325,2.4,37,1.0,0.0,0,1.0,0.27,0.0,28.0,5.69,4.74,2.0,0.0,5.0,0.8,0.0,46.2,High,37.0,54.9,6.1,High,0.8,8.2,stable,0.0,0.06,0.97
Oxford Street,primary,92,8072,3.0,30,0.71,0.88,15,1.0,0.36,0.0,23.06,8.05,2.21,1.35,5.18,4.98,1.09,0.0,45.9,High,10.0,67.0,12.4,High,0.78,7.9,stable,0.12,0.11,0.89
Alfred Street Offramp,motorway_link,3,142,2.0,37,1.0,0.0,0,1.0,0.0,0.0,32.0,4.0,4.91,0.0,0.0,5.0,0.0,0.0,45.9,High,45.9,45.9,0.0,High,1.0,7.9,stable,0.0,0.0,1.0
Dacey Avenue,primary,15,947,3.6,31,0.5,0.0,0,0.6,0.24,0.0,28.0,10.53,2.56,1.01,0.0,2.99,0.71,0.0,45.8,High,36.4,51.4,3.9,High,0.93,7.8,stable,0.02,0.0,0.99
The Crescent,primary,59,3160,2.1,32,0.84,0.81,3,1.0,0.23,0.0,29.49,4.55,2.65,0.76,3.03,4.44,0.68,0.0,45.6,High,36.0,60.9,7.2,High,0.81,7.6,stable,0.05,0.45,0.75
Carrington Road,primary,16,1525,2.6,31,0.0,0.72,2,1.0,0.56,0.0,26.64,6.36,2.41,0.0,3.58,4.97,1.69,0.0,45.6,High,38.0,55.4,5.8,High,0.94,7.6,stable,0.27,0.04,0.84
Sydney Park Road,primary,26,1487,2.3,26,0.84,1.0,6,1.0,0.29,0.0,28.0,5.17,0.31,1.68,4.41,5.0,0.87,0.0,45.4,High,40.0,51.4,2.7,High,1.0,7.4,stable,0.07,0.02,0.95
Victoria Road,trunk,132,10302,2.8,32,0.61,0.77,10,1.0,0.29,0.0,24.39,7.36,2.97,0.06,5.14,4.5,0.87,0.0,45.3,High,7.0,69.9,20.1,High,0.55,7.3,stable,0.06,0.32,0.81
Chifley Square,tertiary,1,59,5.0,25,0.0,1.0,13,1.0,1.0,0.0,14.0,16.0,0.0,0.0,7.0,5.0,3.0,0.0,45.0,High,45.0,45.0,0.0,High,1.0,7.0,stable,0.0,0.0,1.0
Pyrmont Bridge Road Offramp,motorway_link,3,300,1.2,35,1.0,1.0,1,1.0,0.0,0.0,32.0,0.76,4.0,0.0,3.0,5.0,0.0,0.0,44.8,High,44.0,48.0,1.9,High,1.0,6.8,stable,0.0,1.0,0.5
Avoca Street,secondary,8,946,2.9,31,0.0,1.0,2,1.0,0.61,0.0,23.48,7.53,2.43,0.0,5.0,4.26,1.82,0.0,44.5,High,38.4,49.4,3.9,High,1.0,6.5,stable,0.0,0.0,1.0
Shakespeare Place,motorway_link,1,81,2.0,25,1.0,0.0,0,1.0,1.0,0.0,32.0,4.0,0.0,0.0,0.0,5.0,3.0,0.0,44.0,High,44.0,44.0,0.0,High,1.0,6.0,stable,0.0,0.0,1.0
Johnston Street,primary,30,2645,3.1,31,0.45,0.01,1,1.0,0.49,0.0,26.26,8.25,2.23,0.88,0.02,4.83,1.48,0.0,44.0,High,14.0,54.4,8.4,High,0.9,6.0,stable,0.0,0.11,0.94
Lachlan Street,primary,6,435,2.8,31,0.0,0.0,0,1.0,0.43,0.0,28.0,7.17,2.43,0.0,0.0,5.0,1.28,0.0,43.9,High,42.4,50.4,2.9,High,1.0,5.9,stable,0.32,0.0,0.84
Lavender Street Off Ramp,motorway_link,3,111,1.0,35,1.0,0.0,0,1.0,0.91,0.0,32.0,0.0,4.0,0.0,0.0,5.0,2.73,0.0,43.7,High,41.0,44.0,1.4,High,1.0,5.7,stable,0.0,1.0,0.5
City West Link Offramp,motorway_link,6,1035,1.9,37,1.0,0.0,0,1.0,0.05,0.0,31.92,3.71,4.83,0.0,0.0,3.0,0.14,0.0,43.6,High,36.0,50.0,5.5,High,0.67,5.6,stable,0.02,0.05,0.96
Wyndham Street,secondary,14,1412,2.5,31,0.3,0.56,6,1.0,0.99,0.0,22.93,6.14,2.43,0.6,3.09,5.0,2.97,0.0,43.2,High,35.4,59.4,7.5,High,0.79,5.2,stable,0.3,0.0,0.85
Pyrmont Bridge Road,primary,37,1769,3.2,25,0.36,0.25,2,1.0,0.56,0.0,25.69,8.86,0.12,0.72,1.22,4.78,1.68,0.0,43.1,High,28.0,56.0,5.9,High,0.86,5.1,stable,0.09,0.06,0.93
Regent Street,primary,32,2085,3.1,29,0.62,0.64,7,1.0,0.19,0.0,23.37,8.59,1.73,1.23,2.51,5.0,0.58,0.0,43.0,High,10.0,58.4,14.4,High,0.88,5.0,moderate,0.22,0.08,0.85
Military Road Offramp,motorway_link,8,452,1.5,44,1.0,0.0,0,0.66,0.0,0.0,32.0,2.08,7.57,0.0,0.0,1.32,0.0,0.0,43.0,High,38.0,49.9,3.7,High,0.75,5.0,moderate,0.0,0.31,0.84
Cross City Tunnel Onramp,motorway_link,2,208,1.0,35,1.0,0.0,0,1.0,0.72,0.0,32.0,0.0,4.0,0.0,0.0,4.72,2.16,0.0,42.9,High,40.0,44.0,2.0,High,1.0,4.9,moderate,0.0,1.0,0.5
William Street Offramp,motorway_link,5,629,1.5,35,1.0,0.0,0,1.0,0.06,0.0,32.0,1.86,4.0,0.0,0.0,4.73,0.17,0.0,42.8,High,40.0,55.0,5.5,High,1.0,4.8,moderate,0.0,1.0,0.5
Ocean Street,secondary,18,1231,3.0,31,0.05,1.0,3,1.0,0.61,0.0,22.09,7.83,2.32,0.0,3.43,5.0,1.84,0.0,42.5,High,36.4,57.4,6.0,High,0.83,4.5,moderate,0.0,0.05,0.97
Cowper Wharf Road Offramp,motorway_link,4,313,1.6,36,1.0,0.0,0,1.0,0.06,0.0,32.0,2.43,4.5,0.0,0.0,3.0,0.18,0.0,42.1,High,39.9,50.9,4.0,High,1.0,4.1,moderate,0.0,0.45,0.78
Copeland Street,primary,3,406,2.0,25,0.76,1.0,2,1.0,0.0,0.0,28.0,4.0,0.0,1.52,3.48,5.0,0.0,0.0,42.0,High,42.0,42.0,0.0,High,1.0,4.0,moderate,1.0,0.0,0.5
Cahill Expressway Onramp,motorway_link,16,1589,1.2,35,1.0,0.16,3,1.0,0.11,0.0,32.0,0.74,4.03,0.0,0.53,4.39,0.32,0.0,42.0,High,37.0,50.0,3.2,High,0.94,4.0,moderate,0.0,0.14,0.93
Swanson Street,primary,3,648,2.0,25,0.74,1.0,2,1.0,0.0,0.0,28.0,4.0,0.0,1.48,3.52,5.0,0.0,0.0,42.0,High,42.0,42.0,0.0,High,1.0,4.0,moderate,0.37,0.0,0.81
M8 Motorway Tunnel Onramp,motorway_link,10,1998,1.3,37,1.0,0.0,0,1.0,0.03,0.0,31.95,1.35,4.85,0.0,0.0,3.76,0.08,0.0,42.0,High,39.0,46.0,2.2,High,1.0,4.0,moderate,0.0,0.04,0.98
Iron Cove Link Tunnel Offramp,motorway_link,1,559,1.0,37,1.0,0.0,0,1.0,0.0,0.0,32.0,0.0,4.91,0.0,0.0,5.0,0.0,0.0,41.9,High,41.9,41.9,0.0,High,1.0,3.9,moderate,0.0,0.0,1.0
Eddy Avenue,secondary,28,639,2.4,25,1.0,1.0,8,1.0,0.27,0.0,21.71,5.67,0.0,1.81,6.81,5.0,0.8,0.0,41.8,High,31.0,47.0,3.5,High,0.86,3.8,moderate,0.0,0.0,1.0
Marion Street,secondary,5,634,2.4,31,0.0,1.0,7,1.0,0.26,0.0,22.0,5.71,2.43,0.0,5.82,5.0,0.77,0.0,41.7,High,36.4,47.4,4.6,High,0.8,3.7,moderate,0.0,0.0,1.0
Lee Street,secondary,13,311,3.9,26,0.0,0.46,3,1.0,0.1,0.0,22.0,11.69,0.36,0.0,2.3,5.0,0.3,0.0,41.6,High,31.0,48.0,5.3,High,0.92,3.6,moderate,0.22,0.0,0.89
Erskineville Road,primary,17,908,1.6,25,0.53,0.94,2,1.0,0.53,0.0,28.0,2.24,0.0,1.06,3.73,5.0,1.58,0.0,41.6,High,38.0,46.0,1.5,High,0.94,3.6,moderate,0.0,0.0,1.0
