road,modal_class,segments,mean_lanes,mean_speed_kmh,oneway_share,transit_share,commercial_share,junction_share,unpaved_share,lanes_imputed_share,speed_imputed_share,mean_segment_score,category,confidence
Vauxhall Bridge,trunk,5,4.4,32,0.6,1.0,1.0,0.4,0.0,0.0,0.0,59.8,High,high
Duke of Wellington Place,trunk,6,4.3,32,1.0,1.0,1.0,0.0,0.0,0.0,0.0,58.3,High,high
Bricklayers Arms Roundabout,trunk,20,3.6,42,1.0,1.0,1.0,0.0,0.0,0.0,0.0,56.7,High,high
Great Eastern Street,trunk,18,3.6,32,0.28,0.94,1.0,0.44,0.0,0.0,0.0,56.4,High,high
Brixton Road,trunk,33,3.2,48,0.27,1.0,1.0,0.12,0.0,0.27,0.0,56.2,High,medium
Bridgefoot,trunk,14,3.6,32,0.79,1.0,1.0,0.14,0.0,0.0,0.0,56.0,High,high
Marble Arch,trunk,7,4.9,32,1.0,0.86,1.0,0.0,0.0,0.14,0.0,55.9,High,medium
Kingsland Road,trunk,56,3.4,32,0.0,1.0,1.0,0.16,0.0,0.02,0.0,55.1,High,medium
Euston Circus,trunk,4,2.8,32,1.0,1.0,1.0,1.0,0.0,0.0,0.0,55.0,High,high
Parry Street,trunk,11,3.4,32,1.0,1.0,1.0,0.09,0.0,0.0,0.0,54.7,High,high
Wellington Road,trunk,7,2.7,32,0.43,1.0,1.0,0.86,0.0,0.0,0.0,54.4,High,high
Old Kent Road,trunk,42,2.6,48,0.9,1.0,1.0,0.24,0.0,0.19,0.0,54.2,High,medium
Harleyford Street,trunk,3,2.7,32,0.0,1.0,1.0,0.67,0.0,0.33,0.0,53.7,High,medium
Bishop's Bridge,primary,5,4.6,32,0.0,1.0,1.0,0.0,0.0,0.2,0.0,53.4,High,medium
Eccleston Bridge,trunk,6,2.8,32,1.0,1.0,1.0,0.33,0.0,0.17,0.0,53.3,High,medium
Grosvenor Place,trunk,30,3.0,32,0.67,1.0,1.0,0.03,0.0,0.0,0.0,53.2,High,high
Marylebone Road,trunk,96,2.7,32,1.0,0.99,1.0,0.45,0.0,0.0,0.0,53.0,High,high
Camden Road,trunk,31,2.8,32,0.26,1.0,1.0,0.26,0.0,0.0,0.0,52.7,High,high
Cumberland Gate,trunk,9,2.9,32,1.0,1.0,1.0,0.0,0.0,0.0,0.0,52.6,High,high
Edgware Road,trunk,77,2.6,32,0.66,1.0,1.0,0.35,0.0,0.03,0.0,52.6,High,medium
Kennington Park Road,trunk,45,2.8,32,0.42,1.0,1.0,0.09,0.0,0.11,0.0,52.6,High,medium
Vauxhall Bridge Road,trunk,37,2.7,32,0.57,1.0,1.0,0.22,0.0,0.3,0.0,52.4,High,medium
Bessborough Gardens,trunk,9,2.4,32,1.0,1.0,1.0,0.56,0.0,0.22,0.0,52.4,High,medium
Old Marylebone Road,trunk,14,2.6,32,0.43,0.93,1.0,0.43,0.0,0.0,0.0,52.4,High,high
Holloway Road,trunk,12,2.8,32,0.0,1.0,1.0,0.0,0.0,0.0,0.0,52.0,High,high
Camberwell New Road,trunk,62,2.1,45,0.34,0.98,1.0,0.24,0.0,0.39,0.0,51.9,High,medium
Shoreditch High Street,trunk,38,2.9,32,0.32,1.0,1.0,0.32,0.0,0.03,0.0,51.9,High,medium
Lower Grosvenor Place,trunk,4,2.8,32,1.0,0.75,1.0,0.75,0.0,0.0,0.0,51.8,High,high
Park Road,trunk,43,2.3,32,0.56,1.0,1.0,0.4,0.0,0.0,0.0,51.6,High,high
Upper Street,trunk,36,2.4,32,0.61,1.0,1.0,0.28,0.0,0.0,0.0,51.3,High,high
Finchley Road,trunk,65,2.6,32,0.98,0.98,1.0,0.18,0.0,0.12,0.02,51.3,High,low
Clapham Road,trunk,62,2.4,34,0.19,1.0,1.0,0.11,0.0,0.68,0.0,51.2,High,medium
Newington Butts,trunk,33,2.3,36,0.76,0.94,1.0,0.18,0.0,0.27,0.0,50.9,High,medium
Elephant and Castle,trunk,34,2.4,33,0.97,1.0,1.0,0.18,0.0,0.03,0.0,50.9,High,medium
Euston Road,trunk,137,2.5,32,0.85,0.95,1.0,0.24,0.0,0.04,0.0,50.7,High,medium
New Kent Road,trunk,33,2.4,33,0.85,1.0,1.0,0.0,0.0,0.0,0.0,50.6,High,high
Stockwell Road,trunk,24,1.8,48,0.38,1.0,1.0,0.08,0.0,0.04,0.0,50.3,High,medium
South Lambeth Road,trunk,55,2.2,34,0.49,0.93,1.0,0.18,0.0,0.62,0.0,50.3,High,medium
Gloucester Place,primary,44,2.7,34,0.11,1.0,1.0,0.39,0.0,0.0,0.05,50.2,High,medium
Battersea Park Road,trunk,101,2.1,38,0.5,0.98,1.0,0.24,0.0,0.44,0.0,50.2,High,medium
Peckham Road,trunk,10,2.2,32,0.0,1.0,1.0,0.1,0.0,0.3,0.0,50.1,High,medium
Tower Bridge Road,trunk,40,2.1,34,0.45,1.0,1.0,0.25,0.0,0.07,0.0,50.1,High,medium
Battersea Bridge Road,trunk,34,2.3,33,0.21,0.94,1.0,0.12,0.0,0.29,0.0,50.1,High,medium
Kensington Road,primary,7,4.0,32,0.0,1.0,0.71,0.14,0.0,0.0,0.0,50.0,High,high
Camberwell Church Street,trunk,11,2.2,32,0.0,1.0,1.0,0.09,0.0,0.45,0.0,50.0,High,medium
Bridge Place,trunk,3,2.0,32,1.0,1.0,1.0,0.33,0.0,0.67,0.0,50.0,High,medium
Bressenden Place,trunk,4,2.0,32,1.0,1.0,1.0,0.25,0.0,0.0,0.0,49.8,High,high
Bricklayers Arms Flyover,trunk,3,1.7,48,1.0,1.0,1.0,0.0,0.0,0.67,0.0,49.8,High,medium
Hampstead Road,trunk,71,2.1,32,0.45,1.0,1.0,0.06,0.0,0.8,0.0,49.6,High,medium
King Charles I Island,primary,7,3.1,32,1.0,1.0,1.0,0.0,0.0,0.0,0.0,49.6,High,high
Camden High Street,trunk,12,2.2,32,0.92,1.0,1.0,0.25,0.0,0.25,0.0,49.4,High,medium
Pentonville Road,trunk,42,2.1,32,0.81,1.0,1.0,0.5,0.0,0.02,0.0,49.4,High,medium
Cromwell Gardens,trunk,7,2.0,32,1.0,1.0,1.0,0.14,0.0,0.0,0.0,49.4,High,high
Kennington Lane,trunk,41,1.9,33,0.44,1.0,1.0,0.2,0.0,0.2,0.0,49.3,High,medium
City Road,trunk,99,2.3,32,0.47,0.99,1.0,0.18,0.0,0.24,0.0,49.0,High,medium
Tenison Way,primary,1,3.0,32,1.0,1.0,1.0,0.0,0.0,0.0,0.0,49.0,High,high
Charing Cross,primary,3,3.0,32,1.0,1.0,1.0,0.0,0.0,0.0,0.0,49.0,High,high
Cremorne Road,trunk,4,2.0,32,0.25,1.0,1.0,0.0,0.0,0.25,0.0,49.0,High,medium
Lidlington Place,trunk,5,2.0,32,1.0,1.0,1.0,0.0,0.0,1.0,0.0,49.0,High,medium
Battersea Bridge,trunk,1,2.0,32,0.0,1.0,1.0,0.0,0.0,0.0,0.0,49.0,High,high
Tower Bridge,trunk,1,2.0,32,0.0,1.0,1.0,0.0,0.0,0.0,0.0,49.0,High,high
Grosvenor Gardens,trunk,17,2.5,32,1.0,0.82,1.0,0.35,0.0,0.18,0.0,48.8,High,medium
Knightsbridge,trunk,34,2.3,32,0.76,1.0,0.97,0.18,0.0,0.12,0.0,48.7,High,medium
Camden Street,trunk,29,2.2,32,1.0,1.0,1.0,0.21,0.0,0.21,0.0,48.7,High,medium
Thurloe Place,trunk,10,2.0,34,0.7,1.0,1.0,0.5,0.0,0.1,0.1,48.5,High,low
Victoria Street,primary,19,2.4,32,0.63,1.0,1.0,0.26,0.0,0.32,0.0,48.4,High,medium
Old Street,primary,66,2.5,32,0.15,1.0,1.0,0.18,0.0,0.55,0.0,48.3,High,medium
Kennington Road,primary,65,2.9,36,0.31,0.95,1.0,0.12,0.0,0.11,0.0,48.3,High,medium
Durham Street,trunk,6,1.8,32,1.0,1.0,1.0,0.0,0.0,0.17,0.0,48.3,High,medium
Nine Elms Lane,trunk,47,1.7,33,0.89,1.0,1.0,0.06,0.0,0.34,0.02,48.2,High,medium
Harleyford Road,trunk,6,2.0,32,0.67,0.83,1.0,0.0,0.0,0.0,0.0,48.0,High,high
Wormwood Street,primary,2,2.0,32,1.0,1.0,1.0,1.0,0.0,1.0,0.0,48.0,High,medium
Hyde Park Place Bayswater Road,primary,2,3.0,32,0.5,1.0,1.0,0.0,0.0,0.0,0.0,48.0,High,high
York Road,primary,65,2.1,40,0.78,1.0,1.0,0.14,0.0,0.22,0.0,47.9,High,medium
Newington Causeway,primary,28,2.4,48,0.54,1.0,1.0,0.04,0.0,0.29,0.0,47.7,High,medium
Queen's Circus,primary,10,2.8,32,1.0,0.9,1.0,0.0,0.0,0.0,0.0,47.6,High,high
Piccadilly,primary,47,2.5,32,0.89,1.0,0.98,0.26,0.0,0.15,0.0,47.4,High,medium
Aldwych,primary,14,3.3,32,0.0,1.0,0.79,0.07,0.0,0.14,0.0,47.3,High,medium
Highbury Corner,trunk,13,1.9,32,0.54,1.0,1.0,0.0,0.0,0.0,0.0,47.3,High,high
Haymarket,primary,7,2.6,32,1.0,0.86,1.0,0.29,0.0,0.0,0.0,47.3,High,high
Orchard Street,primary,8,2.9,32,0.0,1.0,1.0,0.25,0.0,0.0,0.0,47.2,High,high
Commercial Street,trunk,12,1.8,32,0.58,0.83,1.0,0.33,0.0,0.0,0.0,47.0,High,high
Gloucester Gate Bridge,primary,4,3.0,32,0.0,1.0,1.0,0.0,0.0,0.25,0.0,47.0,High,medium
Albany Street,primary,14,2.5,32,0.36,1.0,1.0,0.43,0.0,0.0,0.0,47.0,High,high
Islington Green,primary,3,2.3,32,0.33,1.0,1.0,0.67,0.0,0.0,0.0,47.0,High,high
Wakley Street,trunk,4,1.5,32,1.0,0.75,1.0,0.5,0.0,0.0,0.0,47.0,High,high
Saint Margaret Street,primary,1,3.0,32,1.0,1.0,0.0,1.0,0.0,0.0,0.0,47.0,High,high
Tower Hill,primary,1,3.0,32,0.0,1.0,1.0,0.0,0.0,0.0,0.0,47.0,High,high
Borough High Street,primary,40,2.2,41,0.62,0.97,1.0,0.38,0.0,0.12,0.0,46.8,High,medium
Brompton Road,trunk,31,2.2,33,0.77,0.65,1.0,0.29,0.0,0.13,0.0,46.8,High,medium
Whitehall,primary,31,2.5,32,0.94,1.0,0.87,0.23,0.0,0.0,0.0,46.8,High,high
Kingsway,primary,26,2.2,32,0.92,0.92,1.0,0.46,0.0,0.15,0.0,46.7,High,medium
Neathouse Place,trunk,7,2.3,33,1.0,1.0,1.0,0.57,0.0,0.0,0.14,46.7,High,medium
Regent Street St James's,primary,7,2.4,32,1.0,0.86,1.0,0.57,0.0,0.0,0.0,46.7,High,high
St George's Road,primary,24,2.3,32,1.0,1.0,1.0,0.12,0.0,0.04,0.0,46.7,High,medium
Cavendish Place,primary,3,2.7,32,0.0,1.0,1.0,0.33,0.0,0.0,0.0,46.7,High,high
Piccadilly Circus,primary,5,1.8,32,1.0,1.0,1.0,0.8,0.0,0.2,0.0,46.6,High,medium
Parliament Square,primary,15,3.1,32,1.0,0.93,0.73,0.0,0.0,0.0,0.0,46.6,High,high
Portman Street,primary,4,2.5,32,0.0,1.0,1.0,0.5,0.0,0.0,0.0,46.5,High,high
Waterloo Road,primary,48,2.5,32,0.54,1.0,1.0,0.23,0.0,0.1,0.0,46.4,High,medium
Grange Road,primary,8,2.4,32,0.0,1.0,1.0,0.62,0.0,0.0,0.0,46.4,High,high
Buckingham Palace Road,primary,40,2.5,32,0.7,0.8,1.0,0.47,0.0,0.1,0.0,46.3,High,medium
Parkway,primary,18,2.3,32,0.67,1.0,1.0,0.22,0.0,0.22,0.0,46.3,High,medium
Portman Square,primary,10,2.5,32,0.2,0.8,1.0,0.7,0.0,0.2,0.0,46.3,High,medium
Chelsea Embankment,trunk,22,2.1,32,0.36,0.59,0.73,0.23,0.0,0.09,0.0,46.2,High,medium
Goswell Road,primary,23,2.0,32,0.48,1.0,1.0,0.26,0.0,0.0,0.0,46.1,High,high
Praed Street,primary,16,2.2,32,0.38,1.0,1.0,0.12,0.0,0.0,0.0,46.1,High,high
London Bridge,primary,7,2.1,32,1.0,1.0,1.0,0.14,0.0,0.14,0.0,46.0,High,medium
Eaton Gate,primary,1,2.0,32,0.0,1.0,1.0,1.0,0.0,1.0,0.0,46.0,High,medium
Park Lane,trunk,42,2.9,33,0.98,0.81,0.86,0.19,0.0,0.07,0.0,45.8,High,medium
Denmark Hill,primary,17,2.4,32,0.24,1.0,1.0,0.24,0.0,0.59,0.0,45.8,High,medium
Wandsworth Road,primary,56,2.4,32,0.36,0.93,1.0,0.2,0.0,0.43,0.0,45.8,High,medium
Blackfriars Road,primary,30,2.1,32,0.43,1.0,1.0,0.43,0.0,0.13,0.0,45.7,High,medium
Bishops Bridge Road,primary,3,1.7,32,1.0,1.0,1.0,0.67,0.0,0.33,0.0,45.7,High,medium
Champion Park,primary,6,2.5,32,0.33,1.0,1.0,0.0,0.0,0.5,0.0,45.7,High,medium
Maida Vale,primary,14,2.1,32,0.64,1.0,0.5,0.29,0.0,0.21,0.0,45.5,High,medium
Grosvenor Road,trunk,87,1.9,32,0.52,0.43,1.0,0.15,0.0,0.43,0.0,45.4,High,medium
Bloomsbury Way,primary,18,2.2,32,1.0,1.0,0.89,0.11,0.0,0.0,0.0,45.4,High,high
Theobalds Road,primary,15,2.2,32,0.47,1.0,1.0,0.47,0.0,0.13,0.0,45.3,High,medium
Great Dover Street,primary,20,2.1,33,0.6,1.0,1.0,0.2,0.0,0.2,0.0,45.3,High,medium
King's Cross Road,primary,31,1.9,32,0.48,1.0,1.0,0.1,0.0,0.39,0.0,45.3,High,medium
Newington Green Road,primary,3,2.3,32,0.0,1.0,1.0,0.33,0.0,0.0,0.0,45.3,High,high
Essex Road,primary,51,2.8,32,0.02,0.96,1.0,0.06,0.0,0.08,0.02,45.2,High,low
Blackfriars Bridge,primary,15,2.0,32,1.0,1.0,1.0,0.07,0.0,0.07,0.0,45.2,High,medium
Marylebone Flyover,trunk,2,2.0,48,1.0,0.0,1.0,0.0,0.0,0.0,0.0,45.1,High,high
Westminster Bridge Road,primary,85,2.2,32,0.75,0.94,1.0,0.19,0.0,0.32,0.0,45.1,High,medium
Westway,trunk,12,2.0,48,1.0,0.0,1.0,0.0,0.0,0.0,0.0,45.1,High,high
Bricklayers Arms,trunk_link,1,2.0,48,1.0,1.0,1.0,0.0,0.0,0.0,0.0,45.1,High,high
Gaunt Street,primary,2,2.0,32,1.0,1.0,1.0,0.0,0.0,1.0,0.0,45.0,High,medium
Lower Sloane Street,primary,9,2.2,32,0.22,1.0,1.0,0.22,0.0,0.22,0.0,45.0,High,medium
Bishopsgate,primary,40,2.1,32,0.45,1.0,1.0,0.23,0.0,0.07,0.0,45.0,High,medium
Outwich Street,primary,2,2.0,32,1.0,1.0,1.0,0.0,0.0,1.0,0.0,45.0,High,medium
Grays Inn Road,primary,1,2.0,32,1.0,1.0,1.0,0.0,0.0,0.0,0.0,45.0,High,high
Holborn Circus,primary,1,2.0,32,1.0,1.0,1.0,0.0,0.0,0.0,0.0,45.0,High,high
Norton Folgate,primary,12,1.9,32,0.92,1.0,1.0,0.17,0.0,0.83,0.0,45.0,High,medium
Edith Grove,trunk,1,1.0,32,1.0,1.0,1.0,0.0,0.0,0.0,0.0,45.0,High,high
Aldersgate Street,primary,30,1.9,32,0.9,1.0,1.0,0.2,0.0,0.53,0.0,44.9,High,medium
Walworth Road,primary,29,2.0,37,0.34,0.97,1.0,0.31,0.0,0.52,0.0,44.9,High,medium
Bayswater Road,primary,36,2.1,32,0.53,1.0,1.0,0.06,0.0,0.0,0.0,44.8,High,high
Clerkenwell Road,primary,49,2.3,32,0.0,1.0,1.0,0.24,0.0,0.1,0.0,44.8,High,medium
Camberwell Road,primary,10,2.0,32,0.0,1.0,1.0,0.6,0.0,1.0,0.0,44.8,High,medium
Chelsea Bridge,primary,12,2.0,32,0.67,1.0,1.0,0.17,0.0,1.0,0.0,44.8,High,medium
Oxford Street,primary,49,1.7,32,0.53,1.0,1.0,0.57,0.0,0.04,0.0,44.7,High,medium
Balls Pond Road,primary,24,2.3,32,0.0,1.0,1.0,0.12,0.0,0.0,0.0,44.7,High,high
London Wall,primary,32,1.8,32,0.84,1.0,1.0,0.28,0.0,0.62,0.0,44.7,High,medium
Finsbury Pavement,primary,11,2.0,32,0.45,1.0,1.0,0.27,0.0,0.18,0.0,44.7,High,medium
Eversholt Street,primary,16,2.3,32,0.12,1.0,1.0,0.06,0.0,0.0,0.0,44.7,High,high
Southwark Street,primary,32,2.0,32,0.31,0.97,1.0,0.38,0.0,0.25,0.0,44.6,High,medium
Lancaster Place,primary,12,1.8,32,1.0,1.0,1.0,0.08,0.0,0.25,0.0,44.6,High,medium
Tottenham Court Road,primary,41,2.2,32,0.15,1.0,1.0,0.15,0.0,0.02,0.0,44.5,High,medium
Penton Rise,trunk,2,2.0,32,1.0,0.0,1.0,0.5,0.0,0.0,0.0,44.5,High,high
New Oxford Street,primary,26,2.2,32,0.19,1.0,1.0,0.19,0.0,0.04,0.0,44.5,High,medium
Cliveden Place,primary,2,2.0,32,0.0,1.0,1.0,0.5,0.0,0.0,0.0,44.5,High,high
Westbourne Street,primary,8,2.6,32,1.0,0.38,1.0,0.25,0.0,0.0,0.0,44.5,High,high
Sloane Street,primary,8,2.0,32,0.0,1.0,1.0,0.5,0.0,0.25,0.0,44.5,High,medium
Westminster Bridge,primary,6,3.0,32,0.0,1.0,0.5,0.0,0.0,0.5,0.0,44.5,High,medium
Drake Street,primary,6,1.5,32,1.0,1.0,1.0,0.5,0.0,0.0,0.0,44.5,High,high
Gray's Inn Road,primary,111,2.1,32,0.25,1.0,1.0,0.04,0.0,0.38,0.0,44.4,High,medium
East Road,primary,14,2.0,32,0.57,1.0,1.0,0.07,0.0,0.86,0.0,44.4,High,medium
Chelsea Bridge Road,primary,28,2.0,32,0.36,1.0,1.0,0.18,0.0,0.61,0.0,44.4,High,medium
Procter Street,primary,8,1.8,32,1.0,1.0,1.0,0.12,0.0,0.25,0.0,44.4,High,medium
Sloane Square,primary,13,1.5,32,0.92,1.0,1.0,0.46,0.0,0.46,0.0,44.4,High,medium
Pimlico Road,primary,13,2.0,32,0.54,0.92,1.0,0.62,0.0,0.15,0.0,44.4,High,medium
Royal College Street,primary,56,1.8,32,0.95,0.96,1.0,0.18,0.0,0.57,0.0,44.4,High,medium
Stamford Street,primary,14,1.9,32,0.57,1.0,1.0,0.29,0.0,0.64,0.0,44.4,High,medium
New Bridge Street,primary,14,1.8,32,0.64,1.0,1.0,0.29,0.0,0.36,0.0,44.3,High,medium
Holborn,primary,15,1.7,32,0.93,1.0,1.0,0.27,0.0,0.0,0.0,44.3,High,high
Bessborough Street,primary,3,2.3,32,0.0,1.0,1.0,0.0,0.0,0.33,0.0,44.3,High,medium
Russell Square,primary,12,2.3,32,0.0,0.92,1.0,0.17,0.0,0.0,0.0,44.3,High,high
King's Cross Bridge,primary,7,1.7,32,1.0,1.0,1.0,0.14,0.0,0.0,0.0,44.3,High,high
Borough Road,primary,31,2.3,32,0.19,0.9,1.0,0.13,0.0,0.1,0.0,44.2,High,medium
Albert Embankment,primary,44,2.2,32,0.59,0.91,1.0,0.11,0.0,0.5,0.0,44.2,High,medium
Broad Sanctuary,primary,13,1.6,32,1.0,1.0,1.0,0.23,0.0,0.08,0.0,44.2,High,medium
Rosebery Avenue,primary,25,2.0,32,0.2,1.0,1.0,0.24,0.0,1.0,0.0,44.1,High,medium
Camomile Street,primary,11,1.9,32,1.0,0.91,1.0,0.18,0.0,0.64,0.0,44.1,High,medium
Adelaide Road,secondary,23,2.7,32,0.57,1.0,1.0,0.39,0.0,0.0,0.0,44.0,High,high
Farringdon Road,primary,44,2.1,32,0.0,1.0,1.0,0.14,0.0,0.5,0.0,44.0,High,medium
Lancaster Terrace,primary,4,1.8,32,1.0,1.0,1.0,0.0,0.0,0.0,0.0,44.0,High,high
Newgate Street,primary,8,2.0,32,0.5,1.0,1.0,0.0,0.0,0.0,0.0,44.0,High,high
Coldharbour Lane,primary,8,2.1,32,0.0,1.0,1.0,0.12,0.0,0.0,0.0,43.9,High,high
Old Brompton Road,primary,11,2.4,32,0.0,1.0,1.0,0.18,0.0,0.64,0.0,43.9,High,medium
Woburn Place,primary,8,2.0,32,0.0,1.0,1.0,0.25,0.0,0.0,0.0,43.8,High,high
St. Martin's Le Grand,primary,13,1.7,32,1.0,1.0,1.0,0.0,0.0,0.15,0.0,43.8,High,medium
Bethnal Green Road,primary,4,1.8,32,0.5,1.0,1.0,0.25,0.0,0.0,0.0,43.8,High,high
Haverstock Hill,primary,29,2.0,32,0.14,1.0,1.0,0.1,0.0,0.48,0.0,43.7,High,medium
Caledonian Road,primary,28,2.0,32,0.39,0.96,1.0,0.25,0.0,0.39,0.0,43.5,High,medium
Waterloo Bridge,primary,16,1.6,32,1.0,1.0,1.0,0.0,0.0,0.0,0.0,43.5,High,high
Baylis Road,primary,20,1.8,32,0.25,1.0,1.0,0.25,0.0,0.4,0.0,43.5,High,medium
Holborn Viaduct,primary,28,1.9,32,0.68,0.93,1.0,0.18,0.0,0.14,0.0,43.5,High,medium
High Holborn,primary,40,2.0,32,0.53,0.85,1.0,0.25,0.0,0.15,0.0,43.5,High,medium
Lambeth Bridge,primary,15,2.1,32,0.6,1.0,0.6,0.33,0.0,0.33,0.0,43.5,High,medium
Latchmere Road,trunk,11,2.0,33,0.0,0.0,1.0,0.09,0.0,0.0,0.0,43.5,High,high
Bevis Marks,primary,11,1.6,32,1.0,1.0,1.0,0.0,0.0,0.36,0.0,43.5,High,medium
King's Road,primary,22,2.0,32,0.0,1.0,1.0,0.14,0.0,0.14,0.0,43.4,High,medium
York Way,primary,97,1.9,32,0.25,1.0,1.0,0.08,0.0,0.18,0.0,43.4,High,medium
Lambeth Road,primary,53,2.3,34,0.4,0.92,0.96,0.21,0.0,0.23,0.0,43.4,High,medium
Addington Street,primary,9,1.8,32,1.0,0.78,1.0,0.22,0.0,0.78,0.0,43.4,High,medium
Regent Street,primary,86,1.5,32,0.87,0.99,1.0,0.24,0.0,0.01,0.0,43.3,High,medium
Trafalgar Square,primary,13,1.9,32,1.0,0.85,0.77,0.23,0.0,0.08,0.0,43.3,High,medium
St. Botolph Street,primary,6,2.0,32,0.17,1.0,1.0,0.0,0.0,0.0,0.0,43.3,High,high
Wharfdale Road,primary,12,1.5,32,1.0,1.0,1.0,0.08,0.0,0.5,0.0,43.2,High,medium
Cromwell Place,primary,4,2.8,32,0.5,1.0,1.0,0.75,0.0,0.25,0.0,43.2,High,medium
Canonbury Road,primary,24,1.8,32,0.29,1.0,1.0,0.17,0.0,0.0,0.0,43.2,High,high
Aldersgate Rotunda,primary,9,1.9,32,1.0,0.78,1.0,0.0,0.0,0.89,0.0,43.2,High,medium
Bridge Street,primary,6,3.2,32,0.0,1.0,0.0,0.17,0.0,0.17,0.0,43.2,High,medium
London Road,primary,21,2.0,34,0.52,1.0,1.0,0.05,0.0,0.1,0.0,43.1,High,medium
Millbank,primary,70,1.8,32,0.64,0.99,0.96,0.09,0.0,0.06,0.0,43.1,High,medium
Chalk Farm Road,primary,39,2.0,32,0.21,0.97,1.0,0.03,0.0,0.59,0.0,43.1,High,medium
Farringdon Street,primary,22,2.0,32,0.5,1.0,1.0,0.27,0.0,0.59,0.0,43.1,High,medium
Southwark Bridge,primary,1,2.0,32,0.0,1.0,1.0,0.0,0.0,0.0,0.0,43.0,High,high
Acton Street,primary,8,1.5,32,1.0,1.0,1.0,0.0,0.0,0.5,0.0,43.0,High,medium
Kennington Oval,trunk,8,2.5,32,0.12,0.75,1.0,0.0,0.0,0.25,0.0,43.0,High,medium
Eccleston Street,primary,6,2.0,32,1.0,0.33,1.0,0.67,0.0,0.67,0.0,43.0,High,medium
Southwark Bridge Road,primary,68,2.0,32,0.15,0.91,1.0,0.12,0.0,0.21,0.0,43.0,High,medium
Euston Underpass,trunk,6,2.0,32,1.0,0.0,1.0,0.0,0.0,0.0,0.0,43.0,High,high
Swinton Street,trunk,4,2.0,32,1.0,0.0,1.0,0.0,0.0,0.0,0.0,43.0,High,high
Southampton Row,primary,29,2.1,32,0.66,1.0,0.48,0.21,0.0,0.52,0.0,42.9,High,medium
Delancey Street,primary,7,1.9,32,1.0,0.86,1.0,0.43,0.0,0.29,0.0,42.9,High,medium
Queenstown Road,primary,80,2.1,32,0.14,0.97,0.89,0.05,0.0,0.7,0.0,42.9,High,medium
Langham Place,primary,12,1.8,32,0.33,1.0,1.0,0.08,0.0,0.0,0.0,42.9,High,high
White Lion Street,trunk,6,1.7,32,0.83,0.83,1.0,0.33,0.0,0.17,0.0,42.8,High,medium
Camden Park Road,primary,20,1.5,32,1.0,1.0,1.0,0.0,0.0,0.2,0.0,42.7,High,medium
Duke Street Hill,primary,11,1.8,33,0.18,1.0,1.0,0.27,0.0,0.0,0.0,42.6,High,high
Fulham Road,primary,36,2.0,32,0.06,0.75,1.0,0.33,0.0,0.5,0.0,42.6,High,medium
Hackney Road,primary,7,1.4,32,0.71,1.0,1.0,0.14,0.0,0.0,0.0,42.6,High,high
Cambridge Road,trunk,2,1.0,48,1.0,0.0,1.0,0.5,0.0,0.0,0.0,42.6,High,high
Albert Bridge Road,primary,10,2.4,32,0.2,0.2,1.0,0.5,0.0,0.2,0.0,42.5,High,medium
Harrington Square,trunk,11,1.5,32,1.0,0.91,1.0,0.0,0.0,0.36,0.0,42.5,High,medium
Old Street Roundabout,primary,15,1.4,32,1.0,1.0,1.0,0.33,0.0,0.13,0.0,42.5,High,medium
Baker Street,primary,33,2.5,32,0.24,0.79,1.0,0.42,0.0,0.06,0.0,42.4,High,medium
Curtain Road,trunk,12,2.1,32,0.75,0.67,1.0,0.17,0.0,0.58,0.0,42.3,High,medium
Duke's Place,primary,6,1.3,32,1.0,1.0,1.0,0.0,0.0,0.17,0.0,42.3,High,medium
Upper Woburn Place,primary,6,2.0,32,0.33,1.0,1.0,0.17,0.0,0.0,0.0,42.2,High,high
St Giles High Street,primary,4,2.0,32,1.0,1.0,1.0,0.25,0.0,0.25,0.0,42.2,High,medium
Highbury Grove,primary,5,1.6,32,0.4,1.0,1.0,0.0,0.0,0.0,0.0,42.2,High,high
Cromwell Road,trunk,14,1.8,32,0.79,0.71,1.0,0.64,0.0,0.21,0.14,42.1,High,low
Sale Place,trunk,1,1.0,32,1.0,0.0,1.0,1.0,0.0,0.0,0.0,42.0,High,high
Queen Street Place,primary,12,1.8,32,0.5,0.67,1.0,0.33,0.0,0.33,0.0,42.0,High,medium
Lambeth Palace Road,primary,46,1.8,32,0.43,1.0,0.76,0.11,0.0,0.37,0.0,41.8,High,medium
King Edward Street,primary,12,1.7,32,1.0,1.0,1.0,0.0,0.0,0.0,0.0,41.7,High,high
Byward Street,primary,7,2.0,32,0.86,0.14,1.0,0.71,0.0,0.0,0.0,41.7,High,high
St. Paul's Road,primary,19,2.0,32,0.26,0.95,0.74,0.05,0.0,0.0,0.0,41.7,High,high
Crucifix Lane,primary,5,2.0,48,1.0,0.0,1.0,0.2,0.0,1.0,0.0,41.7,High,medium
Falcon Road,primary,11,2.3,32,0.36,0.64,1.0,0.36,0.0,0.0,0.0,41.5,High,high
Bloomsbury Street,primary,11,2.1,32,0.0,0.55,1.0,0.27,0.0,0.0,0.0,41.5,High,high
Gracechurch Street,primary,17,1.7,32,0.59,0.88,1.0,0.24,0.0,0.29,0.0,41.4,High,medium
St George's Circus,primary,5,1.4,32,1.0,1.0,1.0,0.4,0.0,0.8,0.0,41.4,High,medium
Shaftesbury Avenue,primary,49,2.0,32,0.14,0.57,1.0,0.22,0.0,0.24,0.0,41.4,High,medium
